singer	song	lyric	next_lyric
林俊杰	不潮不用花钱	有时灵光一闪而过\n牛顿也吃苹果	我的念头不太罗嗦\n限时间能入座
林俊杰	不潮不用花钱	请你 不要到处叩叩 潮流需要抠抠 \n不小心就没抠抠	用力到处扣扣 花掉所有抠抠\n钱买不到绝活
林俊杰	不潮不用花钱	你说听说听说你听谁说\n跟着乱走闹哄哄	通通通普通 普通\n如果不懂 不要随便拒绝
李荣浩	不搭	还没明白怎么最自在\n怎么样算失态是不是串错了鞋带	几年下来都没有名牌\n没好开口表白
潘玮柏	不得不爱	天天把它挂嘴边\n到底什么是真爱	I Love You\n到底有几分说得比想像更快
潘玮柏	不得不爱	天天都需要你爱\n我的心思由你猜	I love you\n我就是要你让我每天都精彩
林俊杰	不懂	雨都停了 天都亮了\n我们还不懂	这爱情路究竟\n带我们到什么地方
汪苏泷	不分手的恋爱	你的爱被埋葬 恨被收藏\n痛应该原谅	我的爱不用讲 恨不用想\n思念在发烫
汪苏泷	不分手的恋爱	感觉不到你为我坚强\n感觉得到你对我说谎	我安静听着肖邦\n用维也纳忧伤
周杰伦	不该	假装我们还在一块\n我真的演不出来	还是不习惯你不在\n这身份转变太快
周杰伦	不该	雪地里相爱 \n他们说零下已结晶 的誓言 不会坏	但爱的状态 却不会永远都冰封\n而透明的存在
周杰伦	不该	你还是 住在我的\n回忆里不出来	让我们 微笑离开\n让故事留下来
孙楠	不见不散	不必烦恼是你的想跑也跑不了\n不必苦恼不是你的想得也得不到	这世界说大就大说小就小\n就算你我有前生的约定 也还要用心去寻找
孙楠	不见不散	不见不散 be there or be square\n不见不散 be there or be squ	不见不散 BE THERE OR BE SQARE\n不见不散 BE THERE OR BE SQARE
李荣浩	不将就	你的暴烈太温柔\n感情又痛又享受	如果我说不吻你不罢休\n谁能逼我将就
王力宏	不可能错过你	有时候只需要一首歌就能让我自在\n忘掉要排队空气湿答答店员很坏	就是这个时候有一朵玫瑰在我心盛开\n就在这个时候阳光跟着撒下来
汪苏泷	不可思议	享受呆在谷底\n欣赏沿途风景	有天我到了山顶\n自由呼吸
林俊杰	不流泪的机场	累计或多或少的伤\n或真或假的谎	只求不忘了我\n最真的模样最真的微笑
陈奕迅	不如不见	越渴望见面然后发现\n中间隔着那十年	我想见的笑脸\n只有怀念
许嵩	不煽情	如果见你\n 场面会煽情	再多一次的放任委屈
许嵩	不煽情	一个曾经最熟悉的号码\n闪烁着	你半年没打来过了\n你说下个月就要移民加拿大了
许嵩	不煽情	我们在一起的时候\n真的很快乐	我想我会一直记得\n彼此真心付出过了那不就够了
好妹妹乐队	不说再见	我相信我们还会再见\n我相信 我会一直想念	我相信我们都会很好 我相信\n我相信的一切 变成火焰
林俊杰	不死之身	我忍受寒冷的煎熬\n和北风狂妄的咆哮	对命运做抵抗
林俊杰	不死之身	这是无法避免的浩劫\n不论你以为你是谁	任何事物任何一切\n喔 亲爱的别难过
张韶涵	不痛	我不想不愿不去承认我的执着\n怕不知不觉无法忍住眼泪不留	是爱伤害了彼此的自由\n你不看不听不说为什麽要离开我
张韶涵	不痛	一点点痛的感觉\n加上一点我对你的思念	承诺不算太遥远\n遥远只剩一瞬间
王力宏	不完整的旋律	心里那个旋律\n未完成的情绪	如果你在倾听\n是否打动了你
王力宏	不完整的旋律	心里有个旋律\n不完整的歌曲	你是否听得出来\n我多了一拍
林俊杰	不为谁而作的歌	原谅我这一首\n不为谁而作的歌	感觉上仿佛窗外的夜色\n曾经有那一刻回头
林俊杰	不为谁而作的歌	梦为努力浇了水\n爱在背后往前推	当我抬起头儿才发觉\n我是不是忘了谁
林俊杰	不为谁而作的歌	累到整夜不能睡\n夜色哪里都是美	一定有个人她\n躲过避过闪过瞒过
张韶涵	不想懂得	我多不舍得 多不懂得\n谁说割爱 才更深刻	彼此依赖 是爱不是负荷\n能握着手就是 感动的
陈奕迅	不要说话	愿意 用一支黑色的铅笔\n画一出沉默舞台剧 灯光再亮 也抱住你	愿意 在角落唱沙哑的歌\n再大声也都是给你
蔡依林	布拉格广场	盗贼他偷走\n修道士说 no	梦醒来后我\n一切都都没有
蔡依林	布拉格广场	我就站在布拉格黄昏的广场\n在许愿池投下了希望	那群白鸽背对着夕阳\n那画面太美我不敢看
