singer	song	lyric	next_lyric
萧敬腾	袖手旁观	你的脸庞\n闭上眼睛就在我面前转呀转	我拿什么条件能够把你遗忘\n除非我们 从一开始就不曾爱过对方
萧敬腾	袖手旁观	寂寞让人忙\n思念让人慌	多喝一点酒 多吹一些风\n能不能解放
王力宏	需要人陪	打开窗户让孤单透气\n这一间屋子 如此密闭	欢呼声仍飘在空气里\n像空无一人一样华丽
王力宏	需要人陪	我 渐渐失去知觉\n就当做是种自我逃避	你 飞到天的边缘\n我也不猜落在何地
王力宏	需要人陪	一个我 需要梦想\n需要方向 需要眼泪	更需要一个人来点亮天的黑
王力宏	需要人陪	闭上眼睛 就看不清\n这双人床 欠缺的 温馨	谁能陪我直到天明\n穿透这片迷蒙寂静
王力宏	需要人陪	打开窗户让孤单透气 \n 这一间屋子 如此密闭	欢呼声仍飘在空气里\n像空无一人一样华丽
薛之谦	续雪	雪下得那么深\n你会否听得很认真	全世界的离人\n都哼着我的心疼
薛之谦	续雪	我发了唱片 你有没有听\n是过去的事情	当你在街上 听认真的雪\n是否会红了眼睛
薛之谦	续雪	雪下得那么深\n哦 北京冬天的黄昏	我换了一座城\n走过两盏路灯
林俊杰	学不会	总是学不会\n再聪明一点	记得自我保护\n必要时候讲些
林俊杰	学不会	你的痛苦我都心疼\n想为你解决	淡开流言 紧握你手 想飞奔往前\n我相信爱能证明一切
林俊杰	学不会	我相信爱 能证明一切\n够真心 会超越时间	多付出 也多了喜悦 让幸福蔓延\n总是学不会 再聪明一点
许嵩	雪花谣	风吹雪花\n 孤独结成伤疤	远去的爱\n却离不开悲哀
王力宏	雪人	雪 一片一片一片一片\n拼出你我的缘份	我的爱 因你而生\n你的手摸出我的心疼
王力宏	雪人	雪 一片一片一片一片\n在天空静静缤纷	眼看春天 就要来了\n而我也将 也将不再生存
林俊杰	压力	虚空与失落 你一一都给我\n到底谁的错 我选你你选我	血管就要破 请你请你饶我\n黑暗的角落 谁都不会很清楚
薛之谦	哑巴	我们会接受惩罚\n有一个变成哑巴	越退让越不会表达\n所有的安静都是人造的冷清
薛之谦	哑巴	我不需要证明\n我不需要声音	我就像一个哑巴一样\n你翻译不了我的声响
薛之谦	哑巴	我就像一个哑巴一样\n你翻译不了我的声响	怕腻烦过量\n我举止要限量
许嵩	雅俗共赏	是否每一部戏都看得完整场\n是否每一天过得都有多难忘	表情迟钝可能因为比较爱想\n不擅长眉目表达
许嵩	雅俗共赏	上得厅堂\n也下得厨房	就像我一直在找的姑娘\n快写一首情歌雅俗共赏
许嵩	雅俗共赏	他们说快写一首情歌\n雅俗共赏	落笔传神还要容易传唱\n上得厅堂也下得厨房
五月天	轧车	不管伊警察底抓\n不管伊父母底骂	只要我引擎催落\n无人可当甲我轧
许嵩	烟花笑	夕阳近似无限好 痴玩年少之美妙\n江南三月烟花笑 姑娘你为何日渐憔	秦淮河边娥眉扫 三杯两盏万家灯火照\n伊人怎会恃宠而娇 凭栏左望把君找
周杰伦	烟花易冷	雨纷纷 旧故里草木深\n我听闻 你仍守着孤城	城郊牧笛声 落在那座野村\n缘份落地生根是 我们
周杰伦	烟花易冷	千年后 累世情深 还有谁在等\n而青史 岂能不真 魏书洛阳城	如你在跟 前世过门\n跟着红尘 跟随我 浪迹一生
周杰伦	烟花易冷	雨纷纷 旧故里草木深\n我听闻 你始终一个人	斑驳的城门 盘踞着老树根\n石板上回荡的是 再等
周杰伦	烟花易冷	听青春 迎来笑声 羡煞许多人\n那史册 温柔不肯 下笔都太狠	烟花易冷 人事易分\n而你在问 我是否还 认真
周杰伦	烟花易冷	浮图塔 断了几层 断了谁的魂\n痛直奔 一盏残灯 倾塌的山门	容我再等 历史转身\n等酒香醇 等你弹 一曲古筝
华晨宇	烟火里的尘埃	笑得开怀哭得坦率\n为何表情要让这世界安排	我就是我我只是我\n只是一场烟火散落的尘埃
华晨宇	烟火里的尘埃	我的心里住着一个 苍老的小孩\n如果世界听不明白 对影子表白	是不是只有我 还在问\n为什么 明天更精彩
华晨宇	烟火里的尘埃	看着飞舞的尘埃掉下来\n没人发现它存在 多自由自在	可世界都爱热热闹闹 容不下 我百无聊赖 \n不应该 一个人 发呆
徐佳莹	言不由衷	愿你永远安康\n愿你永远懂得飞翔	愿你真的爱一个人 某个人 那个人\n而懂温暖 来自何方
林宥嘉	眼色	谁来烧热\n我眼睛的黑色	谁能逃得出 \n我的催眠
林宥嘉	眼色	人面狮身的谜语\n已经被解开	莎士比亚的对白\n不再精彩
林宥嘉	眼色	谁来烧热 我眼睛的黑色\n谁能逃得出 我的催眠	我会让你 心甘情愿 \n把一切都给我只要 看著我的双眼
孙燕姿	眼神	有时候爱是一种眼神\n赶走所有苦闷	是你让我记得自己不是一个人\n有你在什么都有可能
张杰	演唱会	你的欢呼 带我往前走\n我的歌声牵你的手\n每个节拍让舞台颤抖	E OH E OH\n你的欢呼带我往前走
张杰	演唱会	生活中没有什么\n能比我用心唱出 每一首歌\n给我快乐让你感动	就像我有一些梦\n用我的麦克风来唱给你听
薛之谦	演员	可你曾经那么爱我干嘛演出细节\n我该变成什么样子才能延缓厌倦	原来当爱放下防备后的这些那些\n才是考验
薛之谦	演员	该配合你演出的我尽力在表演\n像情感节目里的嘉宾任人挑选	如果还能看出我有爱你的那面\n请剪掉那些情节让我看上去体面
薛之谦	演员	简单点说话的方式简单点\n递进的情绪请省略	你又不是个演员\n别设计那些情节
薛之谦	演员	其实说分不开的也不见得\n其实感情最怕的就是拖着	越演到重场戏越哭不出了\n是否还值得
薛之谦	演员	其实台下的观众就我一个\n其实我也看出你有点不舍	场景也习惯我们来回拉扯\n还计较着什么
许嵩	燕归巢	寒梅落尽把冬了\n衔春的燕想归巢	沿途的景 牵挂的人\n两情迢迢
许嵩	燕归巢	雨后江岸天破晓\n老舟新客知多少	远山见竹林芳草\n晨风抚绿了芭蕉
许嵩	燕归巢	山水间歌声回荡 回荡思念的滚烫\n去年的家书两行	读来又热了眼眶\n云水边静沐暖阳
苏打绿	燕窝	这么 唱歌唱呀唱得唱出愚昧\n这样 飞呀飞得飞出了天边	换来一盆滋味 这么梦想梦呀梦得梦出伟大\n这样盖呀盖得盖出一个家
苏打绿	燕窝	我越唱越颓废 像不曾去计算这季节\n我让声音煮沸 想知道谁会心碎	我越嚼越沉醉\n像分不清珍贵或废铁
周杰伦	阳光宅男	钥匙挂腰带皮夹插后面口袋\n黑框的眼镜有几千度来海边穿西装裤	他不在乎我却想哭\n有点无助他的样子像刚出土的文物
周杰伦	阳光宅男	我不想输 就算辛苦\n我也要等我也不能让你再走寻常路	我决定插手你的人生\n当你的时尚顾问　别说你不能
周杰伦	阳光宅男	让我们乘着阳光\n海上冲浪 吸引她目光	不要怕露出胸膛\n流一点汗 你成了型男
张杰	仰望星空	这一天我开始仰望星空发现\n星并不远梦并不远只要你踮起脚尖	我相信有一双手把我轻轻牵到你的跟前\n我相信有一根线将梦想与现实相连
张杰	仰望星空	我相信有一双手把我轻轻牵到你的跟前\n我相信有一根线将梦想与现实相连	我相信有一种缘会把所有的偶然都实现\n我相信就是这一天命运开始改变
张杰	仰望星空	我从此不再彷徨也不再腼腆\n张开双臂和你一起飞的更高看的更远	我相信有一种缘会把所有的偶然都实现\n我相信就是这一天命运开始改变
黄龄	痒	来啊快活啊反正有大把时光\n来啊爱情啊反正有大把愚妄	来啊 流浪啊 反正有大把方向\n来啊 造作啊 反正有大把风光
花粥	遥不可及的你	我从前相信\n这世上有一个温暖的人	只为我悲喜\n为我阻挡着人间的锋利
周杰伦	爷爷泡的茶	爷爷泡的茶 有一种味道叫做家\n陆羽泡的茶 听说名和利都不拿	爷爷泡的茶 有一种味道叫做家\n爷爷泡的茶 口感味觉还不差
张惠妹	也许明天	海一望无际\n看不见终点在哪里	深邃又吸引\n我的心 我就在浪里
蔡依林	野蛮游戏	野蛮游戏 LOVE\n没人被赦免	野蛮游戏 no 不同情可怜\n野蛮游戏 you 快勇往直前
蔡依林	野蛮游戏	不知不觉其实你已上线\n感情的世界战火连天	如果不想每一天以泪洗面\n提高警觉快张大你的双眼
曾轶可	夜车	你睡得安稳吗\n我必须清醒着	这条路有点黑\n你睡吧我负责
曾轶可	夜车	不用看了没人管我 一个人的生活\n一个人去生活 一个人也可以快活	给你讲讲我的故事你可能没听过\n失信失望失恋失落
曾轶可	夜车	不记得喝了几个 反正你不能开车\n钥匙在这插在车上 我就看着办吧	我家不远就在前面 不远可是很偏\n往左 往右 向前 向后 不用看了没人管我一个人的生活
周杰伦	夜的第七章	如果邪恶\n是华丽残酷的乐章	它的终场\n我会亲手写上
五月天	夜访吸血鬼	要我们无尽又无情的繁衍\n看爱过的人一一告别	做过的梦一一凋谢\n只留下我独自残喘的千年
五月天	夜访吸血鬼	我是蝙蝠却不能飞\n困在日复一日的街	无止尽的狩猎\n仿佛一种天谴
五月天	夜访吸血鬼	只能够日日夜夜\n然后又日日夜夜	无尽的日日夜夜\n永远的深陷在人间
逃跑计划	夜空中最亮的星	我祈祷拥有一颗透明的心灵\n和会流泪的眼睛	给我再去相信的勇气\n越过谎言去拥抱你
逃跑计划	夜空中最亮的星	我宁愿所有痛苦都留在心里\n也不愿忘记你的眼睛	给我再去相信的勇气\n越过谎言去拥抱你
逃跑计划	夜空中最亮的星	每当我找不到存在的意义\n每当我迷失在黑夜里	夜空中最亮的星\n请照亮我前行
陶喆	夜来香	夜来香\n我为你歌唱	夜来香\n我为你思量
周杰伦	夜曲	风在长满青苔的屋顶 嘲笑我的伤心\n像一口没有水的枯井	我用凄美的字型\n描绘后悔莫及的那爱情
周杰伦	夜曲	一群嗜血的蚂蚁 被腐肉所吸引\n我面无表情 看孤独的风景	失去你 爱恨开始分明\n失去你 还有什么事好关心
周杰伦	夜曲	那些断翅的蜻蜓 散落在这森林\n而我的眼睛 没有丝毫同情	失去你 泪水混浊不清\n失去你 我连笑容都有阴影
周杰伦	夜曲	为你弹奏肖邦的夜曲\n纪念我死去的爱情	跟夜风一样的声音\n心碎的很好听
周杰伦	夜曲	当鸽子不再象征和平 我终于被提醒\n广场上喂食的是秃鹰	我用漂亮的押韵\n形容被掠夺一空的爱情
莫文蔚	夜上海	夜上海夜上海你是个不夜城\n华灯起车声响歌舞升平	只见她 笑脸迎 谁知她内心苦闷\n夜生活 都为了 衣食住行
林忆莲	夜太黑	告別白昼的灰\n夜色轻轻包围	这世界正如你想要的那么黑\n霓虹里人影如鬼魅
薛之谦	一半	多平淡 所以自己刻意为难\n多遗憾 被抛弃的人没喜感	像被人围起来 就特别放不开\n都在期待 角色要坏 别委屈了人才
薛之谦	一半	别期待 伤人的话变得柔软\n也别揭穿 剧透的电影不好看	隔墙有只耳朵 嘲笑你多难过\n你越反驳 越像示弱
薛之谦	一半	我可以 为我们的散 承担一半\n可我偏要摧毁所有的好感	看上去能孤独的很圆满\n我做作的表情让自己很难堪
薛之谦	一半	你可以 为我们的散 不用承担\n是我 投入到一半 感到不安	好过未来一点一点纠缠\n我帮你 摘下的那颗廉价指环
薛之谦	一半	心很酸 烟很淡\n难过若写不完 用情歌刁难	我非要 锈了的皇冠 还不肯摘\n在悲伤明显前 举杯离散
薛之谦	一半	多困难 狠话有几句新鲜感\n又有多难 掩饰掉全程的伤感	我毁了艘小船 逼我们隔着岸\n冷眼旁观 最后一段 对白还有点烂
刘若英	一辈子的孤单	就算心烦意乱\n就算没有人作伴哦耶	自由和落寞之间怎么换算\n我独自走在街上看着天空找不到答案
周杰伦	一点点	抱紧你 却抓不住 你的爱剩 一点点\n那一天 你几乎带走我 所有 的从前	你说我 根本没有因为爱你 而改变\n我始终听不进 你的劝
周杰伦	一点点	想吃甜点 想去电影院\n而我却 都嫌太远 你在 委曲埋怨	我连生日 都忘记敷衍\n却只会要你乖 一点点
周杰伦	一点点	工作优先 跟朋友见面\n永远多过给你 的时间	那亏欠 一直 放在心里面\n没能说出口 你已走远
周杰伦	一路向北	后视镜里的世界\n越来越远的道别	你转身向背 侧脸还是很美\n我用眼光去追 竟听见你的泪
周杰伦	一路向北	我一路向北\n离开有你的季节	你说你好累\n已无法再爱上谁
周杰伦	一路向北	风在山路吹\n过往的画面全都是我不对	细数惭愧我伤你几回\n后视镜里的世界 越来越远的道别
周杰伦	一路向北	在车窗外面徘徊\n是我错失的机会	你站的方位\n跟我中间隔着泪
周杰伦	一路向北	我加速超越\n却甩不掉紧紧跟随的伤悲	细数惭愧我伤你几回\n停止狼狈就让错纯粹
陶喆	一念之间	一念是多情一念是无情\n爱情里没有人最聪明	心中那莫名的墙翻不过来\n最恨是自己
汪峰	一起摇摆	让我们一起摇摆\n一起摇摆	忘记所有烦恼\n来一起摇摆
张学友	一千个伤心的理由	爱过的人我已不再拥有\n许多故事有伤心的理由	这一次我的爱情 等不到天长地久
张学友	一千个伤心的理由	这一次我的爱情等不到天长地久\n走过的路再也不能停留	一千个伤心的理由 一千个伤心的理由\n最後我的爱情在故事里慢慢陈旧
林俊杰	一千年后记得我	让爱不熟 让心不透\n让一切再来过	让我把所有美好\n在你面前不做保留
林俊杰	一千年后记得我	不懂爱恨情仇煎熬的我们\n不懂悲欢离合难受的我们	只要能见面 只要再见面 足够\n让爱不熟 让心不透 让一切再来过
林俊杰	一千年后记得我	我曾经来过 如果你能记得\n那年我还如此 腼腆而羞涩	这些年以后 我迷信却依旧\n只是不能确定 你怎样看我
林俊杰	一千年以后	放任无奈 淹没尘埃\n我在废墟之中守着你走来 喔	我的泪光 承载不了 Ho~~\n所有一切你要的爱
林俊杰	一千年以后	心 跳乱了节奏\n梦也不自由	爱 是个绝对承诺 不说\n撑到一千年以后
林俊杰	一千年以后	撑到一千年以后\n放任无奈 淹没尘埃	我在废墟之中守着你走来 喔\n我的泪光 承载不了 喔
林俊杰	一千年以后	因为在 一千年以后\n世界早已没有我	无法深情挽着你的手\n浅吻着你额头
花粥	一腔诗意喂了狗	沙海行旱舟 冰山做酒壶\n二十多年没朋友 天涯任我游	孑然一身勇算什么英雄\n世间太多伤心愁我身后三只狗
花粥	一腔诗意喂了狗	醉眼看人间 个个都温柔\n杯中尽是侠客冢 我还不想走	夜有人吟阙 也有人歌舞\n一腔诗意喂了狗 我也不愿回头
王力宏	一首简单的歌	写一首简单的歌\n让你的心情快乐	爱情就像一条河 \n难免会碰到波折
逃跑计划	一万次悲伤	每一颗眼泪 是一万道光\n最昏暗的地方也变得明亮	我奔涌的暖流 寻找你的海洋\n我注定这样
张惠妹	一想到你呀	一想到你呀就让我快乐\n就好比蜻蜓呀	看见绿草的油亮\n像妈妈轻柔的歌唱
那英	一笑而过	你伤害了我\n还一笑而过	你爱的贪婪我爱的懦弱\n眼泪流过 回忆是多余的
张惠妹	一眼瞬间	只要看你一眼一瞬间\n哪怕是最后画面	我的世界\n因为爱过而完美
林俊杰	一眼万年	泪 有点咸 有点甜\n你的胸膛吻着我的侧脸	回头看踏过的雪\n慢慢融化成草原
林俊杰	一眼万年	深情一眼挚爱万年\n几度轮回恋恋不灭	把岁月铺成红毯\n见证我们的极限
林俊杰	一眼万年	爱 那麽绵 那麽黏\n管命运 设定要谁离别	海岸线越让人流连\n总是美得越蜿蜒
徐佳莹	一样的月光	一样的月光\n怎么看得我越来越心慌	你留下最清楚的步伐\n竟是指引我孤单的方向
梁静茹	一夜长大	想要说的话\n竟然忘了啊	我总是很少说\n不懂得表达
周笔畅	一周年	我把你的短信都删了 感觉要好了\n陌生人一个小动作却让我 又想你很久	我把你的照片锁起了\n可是你生日我还记得
周笔畅	一周年	又 又是一年之后 又走到这路口\n转角的咖啡香 还依旧	但是你 最后你没有 你说的 在我背后\n没有 没出现在那头
周笔畅	一周年	我把 你的照片锁起了\n可是你生日 我还记得	我以为很忙 尽量不要想 就是遗忘\n不过一年后 我们终于 变了朋友
周杰伦	伊斯坦堡	走过了很多地方 我来到伊斯坦堡\n就像是童话故事 有教堂有城堡	每天忙碌地寻找到底什么我想要\n却发现迷了路怎么找也找不着
许嵩	医生	我是你无奈的选择\n 你只想跟一个好人	我为你戴上了戒指\n你的笑也还算逼真
许嵩	医生	你说懂了爱不是浪漫\n我的本分给你安全感	是他让你受了内伤\n我努力恢复你健康
蔡淳佳	依恋	依恋 是一叠昨天\n你给的抱歉 多想没听见	依恋 是一条天线\n只收到从前 回忆的画面
王力宏	依然爱你	我不像从前的自己\n你也有点不像你	但在我眼中你的笑\n依然的美丽
王力宏	依然爱你	我不像从前的自己 你也有点不像你\n但在我眼中你的笑 依然的美丽	日子只能往前走 一个方向顺时钟\n不知道爱有多久 所以要让你懂
王力宏	依然爱你	我依然爱你 就是唯一的退路\n我依然珍惜 时时刻刻的幸福	你每个呼吸 每个动作 每个表情\n到最后 一定会 依然爱你
张韶涵	遗失的美好	再多的风景也从不停靠\n只一心寻找我遗失的美好	有的人说不清哪里好\n但就是谁都替代不了
张韶涵	遗失的美好	在最开始的那一秒\n有些事早已经注定要到老	虽然命运爱开玩笑\n真心会和真心遇到
张韶涵	遗失的美好	海的思念绵延不绝\n终于和天 在地平线交会	爱如果走得够远\n应该也会跟幸福相见
张韶涵	遗失的美好	我始终带着你爱的微笑\n一路上寻找我遗失的美好	不小心当泪滑过嘴角\n就用你握过的手抹掉
张韶涵	遗失的美好	虽然命运爱开玩笑\n真心会和真心遇到	我始终带着你爱的微笑\n一路上寻找我遗失的美好
周杰伦	以父之名	我们每个人都有罪 犯着不同的罪\n我能决定谁对 谁又该要沉睡	争论不能解决 在永无止境的夜\n关掉你的嘴 唯一的恩惠
林俊杰	以后要做的事	时间从来不为谁 暂停了前进\n就像爱从来不曾 会风平浪静	未来就会揭谜底 命运捧在我手心\n还没走到最后 请别低着头
林俊杰	以后要做的事	别逃避我们以后 要做的事情\n多些幻想少一些 犹豫的途径	路不该是疑问句 要比谁都清晰\n时间从来不为谁 暂停了前进
林俊杰	以后要做的事	或许会不知所措\n痛过才浮现彩虹	越纯粹就越感动\n我一抬头 是最初的天空
林俊杰	以后要做的事	还没走到最后\n请别低着头	沿途捡的梦\n是否 有些不安和迷惑
A-Lin	以前以后	以前说的不是这种以后\n快乐不该变的像彩虹	不要让大雨淋过 才短暂拥有\n以前要的不是这种以后
A-Lin	以前以后	以前要的不是这种以后\n感动被生活辗过	爱情 就磨成了寂寞\n本来总是牵着的手
A-Lin	以前以后	本来总是牵着的手\n现在怎么各自寂寞	你在抽完烟后\n还要忙什么
薛之谦	意外	当疯狂慢慢从爱情离开\n还有什么你值得感慨	如果风景早已都不存在\n我想我谁都不爱
薛之谦	意外	我在清晨的路上\n谁被我遗忘	我在深夜里旅行\n谁被我遗忘
薛之谦	意外	肩上的破旧行囊\n能收藏多少坚强	不如全身赤裸\n还给我那脆弱
薛之谦	意外	明知这是一场意外\n你要不要来	明知这是一场重伤害\n你会不会来
林俊杰	因你而在	我要和你拥抱\n牵你的手一起去奔跑	你存在的这一秒\n会不会是我依靠
陈奕迅	因为爱情	因为爱情 不会轻易悲伤\n所以一切都是幸福的模样	因为爱情 简单的生长\n依然随时可以为你疯狂
陈奕迅	因为爱情	给你一张过去的CD\n听听那时我们的爱情	有时会突然忘了我还在爱着你
张杰	因为爱情来得不容易	若没有滴水穿石寂寞的洗礼\n那是喜欢不是爱不刻骨铭心	若没有交出自己没一点余地\n这份爱不配你的名字
张杰	因为爱情来得不容易	因为爱情来得不容易\n再多误解我都不在意	只想抱着你保护你\n有种不离不弃叫珍惜
张杰	因为爱情来得不容易	因为爱情来得不容易\n再多艰辛我都很乐意	只想抱着你陪着你\n不言不语也是风和日丽 
莫文蔚	因为所以	因为踩著影子\n画面才会冷清	所以跟你没有关系
莫文蔚	阴天	阴天 在不开灯的房间\n当所有思绪都一点一点沉淀	爱情究竟是精神鸦片\n还是世纪末的无聊消遣
莫文蔚	阴天	也许像谁说过的贪得无厌\n活该应了谁说过的不知检点	总之那几年\n感性赢了理性的那一面
陈奕迅	阴天快乐	天空它像什么\n爱情就像什么	几朵云在阴天忘了该往哪儿走
陈奕迅	阴天快乐	听阴天说什么\n在昏暗中的我	想对着天讲\n说无论如何
汪苏泷	银河	黑洞里藏着什么\n你还想追求什么	流星的下落\n没有人执着
张韶涵	隐形的翅膀	我终于翱翔\n用心凝望不害怕	哪里会有风就飞多远吧\n隐形的翅膀让梦恒久比天长
张韶涵	隐形的翅膀	我知道我一直有双隐形的翅膀\n带我飞给我希望	我终于看到所有梦想都开花\n追逐的年轻歌声多嘹亮
张韶涵	隐形的翅膀	我知道 我一直有双隐形的翅膀 带我飞\n飞过绝望	不去想他们拥有美丽的太阳\n我看见每天的夕阳也会有变化
张韶涵	隐形的翅膀	每一次\n都在徘徊孤单中坚强	每一次\n就算很受伤也不闪泪光
张韶涵	隐形的翅膀	我知道 我一直有双隐形的翅膀 带我飞\n给我希望	我终于看到所有梦想都开花\n追逐的年轻歌声多嘹亮
许嵩	隐隐约约	隐隐约约哑巴吃黄连\n隐隐约约上不了台面	隐隐约约 乌云想遮天\n隐隐约约 故事到此忽然了结
许嵩	隐隐约约	枕边\n 如此隐隐约约	发香绵延\n好似江水连天
许嵩	隐隐约约	隐隐约约\n哑巴吃黄连	隐隐约约\n上不了台面
周杰伦	印第安老斑鸠	印地安老斑鸠平常话不多 \n 除非是乌鸦抢了它的窝	它在灌木丛旁邂逅\n一只令它心仪的母斑鸠
韩红	映山红	若要盼得哟红军来\n岭上开遍哟映山红	岭上开遍哟映山红\n岭上开遍哟映山红
韩红	映山红	夜半三更哟盼天明\n寒冬腊月哟盼春风	若要盼得哟红军来\n岭上开遍哟映山红
五月天	拥抱	昨天太近 明天太远 \n 默默聆听那黑夜	晚风吻尽 荷花叶\n任我醉倒在池边
五月天	拥抱	那一个人爱我 \n  将我的手紧握	抱紧我 吻我 喔爱~~~ 别走\n隐藏自己的疲倦 表达自己的狼狈
张靓颖	永远	说过的誓言一句一句都兑现\n而有些事情会改变 像习惯和季节	幸福是瞬间或永远我该怎么分辨\nSo can we love forever
梁静茹	勇气	我们都需要勇气\n去相信会在一起	人潮拥挤我能感觉你\n放在我手心里 你的真心
梁静茹	勇气	终于做了这个决定\n别人怎么说我不理	只要你也一样的肯定\n我愿意天涯海角都随你去
梁静茹	勇气	爱真的需要勇气\n来面对流言蜚语	只要你一个眼神肯定\n我的爱就有意义
张杰	友忆思	和你迷路在茫茫人海\n看不清未来 痛到现在	一阵风吹来 吹散云海\n唱你和我的爱
张杰	友忆思	我还在等待 等爱情来\n等待着幸福 被你打开	和你相遇在 在爱琴海\n天亮后才明白
张杰	友忆思	你说想我的时候 思念在脑海行走\n时间不曾为我停留 还有缺口	是你用温暖的手 带我到夜的出口\n我们化作悠然海鸥 不回头
汪苏泷	有点甜	是你\n让我看见干枯沙漠开出花一朵	是你让我想要每天为你写一首情歌\n用最浪漫的副歌
那英	有个爱你的人不容易	有个爱你的人不容易\n你怎能如此伤她的心	她惦记的深爱的唯一的你\n还不趁现在好好努力
那英	有个爱你的人不容易	你以为一切都是没选好\n得到的和想要的对不上号	你以为时间可以重来\n换个人当主角 爱情就会天荒地老
那英	有个爱你的人不容易	有个爱你的人不容易\n你为何不去好好珍惜	当错过了失去了忏悔的你\n是否还能换回那颗善良的心
许嵩	有何不可	天空好想下雨\n我好想住你隔壁	傻站在你家楼下\n抬起头数乌云
许嵩	有何不可	如果有时不那么开心\n我愿意将格洛米借给你	你其实明白我心意\n为你唱这首歌 没有什么风格
许嵩	有何不可	为你唱这首歌没有什么风格\n它仅仅代表着我希望你快乐	为你解冻冰河 为你做一只扑火的飞蛾\n没有什么事情是不值得
许嵩	有何不可	如果场景里出现一架钢琴\n我会唱歌给你听	哪怕好多盆水往下淋\n夏天快要过去 请你少买冰淇淋
许嵩	有何不可	天空好想下雨 我好想住你隔壁\n傻站在你家楼下 抬起头数乌云	如果场景里出现一架钢琴\n我会唱歌给你听
许嵩	有何不可	为你解冻冰河\n为你做一只扑火的飞蛾	没有什么事情是不值得
许嵩	有何不可	为你唱这首歌\n没有什么风格	它仅仅代表着我想给你快乐\n为你解冻冰河为你做一只扑火的飞蛾
许嵩	有何不可	夏天快要过去\n请你少买冰淇淋	天凉就别穿短裙\n别再那么淘气
曾轶可	有可能的夜晚	让蜡烛代替所有灯 让音乐代替话语声\n此时无声胜有声	如果要我开口 只能说一句话\n让我成为你的有可能
薛之谦	有没有	有没有人比你懂我的防备\n还是会笑我傻到以为	这真心的话不能给\n多残忍也都自己安慰
薛之谦	有没有	有没有真实可以退 如何应对\n早知道我何必流泪 我自以为	不习惯这个故事 已经结尾\n连错也错的这么美 任谁都会
薛之谦	有没有	有没有人比我更惭愧\n越热烈越沉默以对	别看我\n我不难过
胡彦斌	有梦好甜蜜	总觉得有梦好甜蜜\n满天的繁星掩藏我点点点的秘密	夏日的蝉鸣\n吟唱我对未来的希冀
五月天	有你的将来	我爱甲这出力\n你只是试看麦 扰乱我原本平静的世界	我爱甲这出力\n你甘未歹交待 你的心肝无人懂得
许嵩	有桃花	请爱我\n 哪怕你心中还有点困惑	请爱我\n我乐意给你我有的所有
许嵩	有桃花	可我知道他们都不懂你\n我也没那么容易放弃	在茫茫人海之中有一颗真心\n要不要选择权在你
张韶涵	有形的翅膀	隐形翅膀 带着我幻想\n掠过那绝望 找希望	你的力量\n却是我身上真实的飞翔
林宥嘉	诱	小花朵\n一朵一朵慢动作飘落	像杯酒 太诱惑\n琥珀色的安乐窝
陈绮贞	鱼	我坐在椅子上 看日出复活\n我坐在夕阳里 看城市的衰弱	我摘下一片叶子 让它代替我\n观察离开后的变化 曾经狂奔 舞蹈
陈绮贞	鱼	带不走的丢不掉的 让大雨侵蚀吧\n让他推向我在边界 奋不顾身挣扎	如果有一个怀抱\n勇敢不计代价
陈绮贞	鱼	带不走的留不下的 我全都交付他\n让他捧着我在手掌 自由自在挥洒	如果有一个世界\n浑浊的不像话 原谅我飞
孙燕姿	愚人的国度	我们都回不去最初\n曾美丽 但还是不满足	爱是自愚 愚人演出\n答案清楚 才能谢幕
孙燕姿	愚人的国度	爱是愚人的国度\n看我们演的好辛苦	是你所谓的领悟\n我不懂 我不哭
许嵩	宇宙之大	我欠你的\n不只是一句对不起	你欠我的\n不只是一场远途旅行
许嵩	宇宙之大	我在南极\n拍下了企鹅与冰川的剪影	宇宙之大 每个生命 都在孤寂\n你的脾气那么温驯如湖畔的风景
杨丞琳	雨爱	听雨的声音 一滴滴清晰\n你的呼吸像雨滴渗入我的爱里	真希望雨能下不停\n让想念继续 让爱变透明
杨丞琳	雨爱	窗外的天气\n就像是你多变的表情	下雨了 雨陪我哭泣\n看不清 我也不想看清
周杰伦	雨下一整晚	白杨木影子被拉长\n像我对你的思念走不完	原来我从未习惯\n你已不在我身旁
周杰伦	雨下一整晚	开著车漫无目的地转弯\n不知要去哪个地方	闹区的电视墙\n到底有谁在看
周杰伦	雨下一整晚	街灯下的橱窗\n有一种落寞的温暖	吐气在玻璃上3 画着你的模样
周杰伦	雨下一整晚	街道的铁门被拉上\n只剩转角霓虹灯还在闪	这城市的小巷\n雨下一整晚
飞儿乐团	雨樱花	樱花飘落悲谷的悠雅 藏着一句说不出的话\n窗外吹着屋里的牵挂 轻轻吹动 我头发	
飞儿乐团	雨樱花	傻傻的微笑表情却无法言语\n偷偷的像是记忆里幸福的相机	静静的呼吸身边有你的空气\n我还记得你 说樱花很美丽
张韶涵	寓言	我逛到这条热闹的街\n太阳晒得我有点累	奇怪最近我爱碎碎唸\n但又觉得 I DON'T CARE
张韶涵	寓言	我期待童话般的爱情\n却不想那样的绝对	给我一个大大的拥抱\n什么语言 I DON'T CARE
张韶涵	寓言	我才发现 梦想与现实间的差别\n逆着风	让自己体验每一个感觉\n就像是寓言流泪喜悦看过这一天
张韶涵	寓言	我站在喜怒哀乐面前\n阅读我下一个画面	我想去冒险不管一路多危险
